flare_event_id,HARPNUM,NOAA_AR,selected_T0_utc,selected_T0_TAI,selected_lead_to_target_hr,catalog_clean_grid_points,strict_data_pass_grid_points,selected_SHRGT45_slope_3h_percent_per_hr,selected_SHRGT45_delta_3h_percent,formal_negative_status,replacement_status
NOAA11158_X2.2_20110215,377,11158,2011-02-13T10:11:26Z,2011.02.13_10:12:00_TAI,39.543,163,98,0.725096,2.218,NOT_FORMAL_INDEPENDENT_CONTROL,USED_IN_FINAL_CONTROL
NOAA12297_X2.1_20150311,5298,12297,2015-03-10T16:47:25Z,2015.03.10_16:48:00_TAI,23.393,123,20,0.149478,0.400,NOT_FORMAL_INDEPENDENT_CONTROL,USED_IN_FINAL_CONTROL
NOAA12673_X9.3_20170906,7115,12673,2017-09-03T22:23:23Z,2017.09.03_22:24:00_TAI,61.494,62,14,0.883588,2.755,NOT_FORMAL_INDEPENDENT_CONTROL,USED_IN_FINAL_CONTROL
