flare_event_id,flare_NOAA_AR,HARPNUM,expected_records,returned_records,missing_records,max_returned_gap_min,first_expected_TAI,last_expected_TAI,first_returned_TAI,last_returned_TAI,missing_T_REC_TAI,note
NOAA11158_X2.2_20110215,11158,377,60,60,0,12.0,2011.02.14_13:36:00_TAI,2011.02.15_01:24:00_TAI,2011.02.14_13:36:00_TAI,2011.02.15_01:24:00_TAI,,Query-level cadence audit; history windows have separate valid-frame gates.
NOAA11429_X5.4_20120307,11429,1449,60,60,0,12.0,2012.03.06_12:00:00_TAI,2012.03.06_23:48:00_TAI,2012.03.06_12:00:00_TAI,2012.03.06_23:48:00_TAI,,Query-level cadence audit; history windows have separate valid-frame gates.
NOAA11520_X1.4_20120712,11520,1834,60,60,0,12.0,2012.07.12_03:36:00_TAI,2012.07.12_15:24:00_TAI,2012.07.12_03:36:00_TAI,2012.07.12_15:24:00_TAI,,Query-level cadence audit; history windows have separate valid-frame gates.
NOAA12192_X1.1_20141019,12192,4698,60,60,0,12.0,2014.10.18_16:12:00_TAI,2014.10.19_04:00:00_TAI,2014.10.18_16:12:00_TAI,2014.10.19_04:00:00_TAI,,Query-level cadence audit; history windows have separate valid-frame gates.
NOAA12297_X2.1_20150311,12297,5298,60,45,15,180.0,2015.03.11_04:00:00_TAI,2015.03.11_15:48:00_TAI,2015.03.11_04:00:00_TAI,2015.03.11_15:48:00_TAI,2015.03.11_06:24:00_TAI;2015.03.11_06:36:00_TAI;2015.03.11_06:48:00_TAI;2015.03.11_07:00:00_TAI;2015.03.11_07:12:00_TAI;2015.03.11_07:24:00_TAI;2015.03.11_07:36:00_TAI;2015.03.11_07:48:00_TAI;2015.03.11_08:00:00_TAI;2015.03.11_08:12:00_TAI;2015.03.11_08:24:00_TAI;2015.03.11_08:36:00_TAI;2015.03.11_08:48:00_TAI;2015.03.11_09:00:00_TAI;2015.03.11_09:48:00_TAI,Query-level cadence audit; history windows have separate valid-frame gates.
NOAA12673_X9.3_20170906,12673,7115,60,48,12,156.0,2017.09.05_23:48:00_TAI,2017.09.06_11:36:00_TAI,2017.09.05_23:48:00_TAI,2017.09.06_11:36:00_TAI,2017.09.06_06:12:00_TAI;2017.09.06_06:24:00_TAI;2017.09.06_06:36:00_TAI;2017.09.06_06:48:00_TAI;2017.09.06_07:00:00_TAI;2017.09.06_07:12:00_TAI;2017.09.06_07:24:00_TAI;2017.09.06_07:36:00_TAI;2017.09.06_07:48:00_TAI;2017.09.06_08:00:00_TAI;2017.09.06_08:12:00_TAI;2017.09.06_08:24:00_TAI,Query-level cadence audit; history windows have separate valid-frame gates.
