qa_id,frame_id,case_id,case_type,frame_role,target_TAI,T_REC_TAI,selected_minus_target_min,selection_rule,series_match,HARPNUM_match,T_REC_match,SHRGT45_match,USFLUX_match,LON_FWT_match,LAT_FWT_match,QUALITY_match,quality_gate,same_record_segments,same_shape,same_wcs,file_integrity,within_case_grid,within_case_exact_wcs,qa_status,archive_eligibility
QA-AR11158-FIXED-THREE-20260809,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI,AR11158_same_ar_temporal_control_20110213_1012_TAI,SAME_AR_TEMPORAL_CONTROL,t_pred,2011.02.13_10:12:00_TAI,2011.02.13_10:12:00_TAI,0.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_FROZEN,PASS,PASS,PASS,PASS,EXPECTED_STABLE,PASS,PASS,YES_WITH_RETRIEVAL_DRILL_BOUNDARY
QA-AR11158-FIXED-THREE-20260809,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI,AR11158_event_pre_3_to_6h_20110214_2236_TAI,POSITIVE,t_pred,2011.02.14_22:36:00_TAI,2011.02.14_22:36:00_TAI,0.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_FROZEN,PASS,PASS,PASS,PASS,EXPECTED_STABLE,PASS,PASS,YES_WITH_RETRIEVAL_DRILL_BOUNDARY
QA-AR11158-FIXED-THREE-20260809,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI,AR11158_buffer_0_to_3h_20110214_2248_TAI,BUFFER_EDGE,t_pred,2011.02.14_22:48:00_TAI,2011.02.14_22:48:00_TAI,0.0,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,NOT_FROZEN,PASS,PASS,PASS,PASS,EXPECTED_STABLE,PASS,PASS,YES_WITH_RETRIEVAL_DRILL_BOUNDARY
