fixed_sample_id,sample_role,window,window_start_utc,window_end_utc,mplus_event_count,mplus_events,catalog_source
AR11158_same_ar_temporal_control_20110213_1012_TAI,反例：同 AR 时间对照,历史 -3--0 小时,2011-02-13T07:11:26Z,2011-02-13T10:11:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_same_ar_temporal_control_20110213_1012_TAI,反例：同 AR 时间对照,未来 0--3 小时,2011-02-13T10:11:26Z,2011-02-13T13:11:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_same_ar_temporal_control_20110213_1012_TAI,反例：同 AR 时间对照,未来 3--6 小时,2011-02-13T13:11:26Z,2011-02-13T16:11:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_event_pre_3_to_6h_20110214_2236_TAI,正例：未来 3--6 小时发生 M+,历史 -3--0 小时,2011-02-14T19:35:26Z,2011-02-14T22:35:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_event_pre_3_to_6h_20110214_2236_TAI,正例：未来 3--6 小时发生 M+,未来 0--3 小时,2011-02-14T22:35:26Z,2011-02-15T01:35:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_event_pre_3_to_6h_20110214_2236_TAI,正例：未来 3--6 小时发生 M+,未来 3--6 小时,2011-02-15T01:35:26Z,2011-02-15T04:35:26Z,1,201102150144|X3.3|2011-02-15T01:44:00Z|2011-02-15T02:06:00Z|AR=1158,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_buffer_0_to_3h_20110214_2248_TAI,0--3 小时发生例,历史 -3--0 小时,2011-02-14T19:47:26Z,2011-02-14T22:47:26Z,0,NONE,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_buffer_0_to_3h_20110214_2248_TAI,0--3 小时发生例,未来 0--3 小时,2011-02-14T22:47:26Z,2011-02-15T01:47:26Z,1,201102150144|X3.3|2011-02-15T01:44:00Z|2011-02-15T02:06:00Z|AR=1158,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
AR11158_buffer_0_to_3h_20110214_2248_TAI,0--3 小时发生例,未来 3--6 小时,2011-02-15T01:47:26Z,2011-02-15T04:47:26Z,1,201102150144|X3.3|2011-02-15T01:44:00Z|2011-02-15T02:06:00Z|AR=1158,"NCEI v1.0.1 M+/X subset; use complete interval overlap, not onset-only matching."
