fixed_sample_id,role,HARPNUM,NOAA_AR,T_REC_TAI,T_REC_UTC,recordset_Br_Bp_Bt,required_components,header_checks
AR11158_same_ar_temporal_control_20110213_1012_TAI,反例：同 AR 时间对照,377,11158,2011.02.13_10:12:00_TAI,2011-02-13T10:11:26Z,"hmi.sharp_cea_720s[377][2011.02.13_10:12:00_TAI]{Br,Bp,Bt}","Br,Bp,Bt from the same HARP and T_REC record",DATE-OBS;T_REC;HARPNUM;NOAA_AR;WCS;BUNIT;shape;NaN;bad-pixel information
AR11158_event_pre_3_to_6h_20110214_2236_TAI,正例：未来 3--6 小时发生 M+,377,11158,2011.02.14_22:36:00_TAI,2011-02-14T22:35:26Z,"hmi.sharp_cea_720s[377][2011.02.14_22:36:00_TAI]{Br,Bp,Bt}","Br,Bp,Bt from the same HARP and T_REC record",DATE-OBS;T_REC;HARPNUM;NOAA_AR;WCS;BUNIT;shape;NaN;bad-pixel information
AR11158_buffer_0_to_3h_20110214_2248_TAI,0--3 小时发生例,377,11158,2011.02.14_22:48:00_TAI,2011-02-14T22:47:26Z,"hmi.sharp_cea_720s[377][2011.02.14_22:48:00_TAI]{Br,Bp,Bt}","Br,Bp,Bt from the same HARP and T_REC record",DATE-OBS;T_REC;HARPNUM;NOAA_AR;WCS;BUNIT;shape;NaN;bad-pixel information
