qa_id,frame_id,file_id,segment,local_file,fits_hdu_count,image_hdu_index,shape_y,shape_x,total_pixels,nan_count,nan_percent,inf_count,zero_count,zero_percent,finite_min_gauss,finite_max_gauss,finite_mean_gauss,finite_std_gauss,p01_gauss,p99_gauss,fully_missing_rows,fully_missing_columns,max_row_missing_percent,max_column_missing_percent,integrity_status
QA-AR11158-FIXED-THREE-20260809,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI_Br,Br,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110213_101200_TAI_Br.fits,2,1,377,744,280488,0,0.0,0,38,0.013547816662388409,-2478.57,2441.56,1.8709325889164612,200.23731362084735,-794.4599000000001,754.9581000000017,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI_Bp,Bp,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110213_101200_TAI_Bp.fits,2,1,377,744,280488,0,0.0,0,22,0.007843472804540657,-2042.1100000000001,1456.31,-17.856064323607427,151.72590647187081,-708.1012000000001,329.80510000000123,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI,AR11158_same_ar_temporal_control_20110213_1012_TAI__2011.02.13_10:12:00_TAI_Bt,Bt,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110213_101200_TAI_Bt.fits,2,1,377,744,280488,0,0.0,0,18,0.00641738684007872,-1288.82,1668.8400000000001,11.570156334673854,124.18759170946305,-355.51240000000007,510.5847000000009,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI_Br,Br,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_223600_TAI_Br.fits,2,1,377,744,280488,0,0.0,0,26,0.009269558769002595,-2602.68,2585.1,0.6329844414021312,275.5483813530121,-1162.9038,1067.8994000000016,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI_Bp,Bp,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_223600_TAI_Bp.fits,2,1,377,744,280488,0,0.0,0,25,0.008913037277887111,-1836.99,1421.13,-17.108404744588004,197.44073987033568,-821.0578,619.2865000000002,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI,AR11158_event_pre_3_to_6h_20110214_2236_TAI__2011.02.14_22:36:00_TAI_Bt,Bt,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_223600_TAI_Bt.fits,2,1,377,744,280488,0,0.0,0,12,0.004278257893385813,-1372.05,1332.92,17.23684228915319,182.69610755637632,-585.3026000000001,805.7213,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI_Br,Br,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_224800_TAI_Br.fits,2,1,377,744,280488,0,0.0,0,25,0.008913037277887111,-2591.78,2583.17,0.5158120133481665,275.8546180844102,-1168.9504,1072.1404000000005,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI_Bp,Bp,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_224800_TAI_Bp.fits,2,1,377,744,280488,0,0.0,0,17,0.006060865348963235,-1849.63,1424.26,-17.170892159379367,197.10117453590456,-821.54,625.0765000000002,0,0,0.0,0.0,PASS
QA-AR11158-FIXED-THREE-20260809,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI,AR11158_buffer_0_to_3h_20110214_2248_TAI__2011.02.14_22:48:00_TAI_Bt,Bt,magnetograms/sharp_cea_fixed_three_20260809/AR11158_HARP377_20110214_224800_TAI_Bt.fits,2,1,377,744,280488,0,0.0,0,16,0.005704343857847751,-1353.27,1381.02,17.679055895439383,183.27307343452767,-587.5039,808.4539000000002,0,0,0.0,0.0,PASS
